Page Type,URL,Meta Title,Meta Description,Meta Keywords,Stars,Language,Topics
Homepage,https://www.trackmcp.com,"Track MCP - Discover 10,000+ Model Context Protocol Tools & Servers","Explore the world's largest directory of Model Context Protocol (MCP) tools, servers, and connectors. Search 10,000+ GitHub repositories for AI development, LLM integration, and developer tools.","MCP, Model Context Protocol, AI tools, LLM tools, GitHub MCP, developer tools, MCP servers, MCP connectors, AI development",,,
Tool Page,https://www.trackmcp.com/tool/awesome-mcp-servers,"awesome-mcp-servers - 73,094⭐ MCP Tool","A collection of MCP servers.. ⭐ 73,094 stars.","awesome-mcp-servers, awesome-mcp-servers MCP, MCP tool, Model Context Protocol, ai, mcp, popular MCP tool, trending MCP tool",73094,,"ai, mcp"
Tool Page,https://www.trackmcp.com/tool/browser-use,"browser-use - 71,486⭐ MCP Tool","🌐 Make websites accessible for AI agents. Automate tasks online with ease.. ⭐ 71,486 stars. Python implementation. MCP tool for AI development.","browser-use, browser-use MCP, MCP tool, Model Context Protocol, Python MCP, ai-agents, ai-tools, browser-automation, browser-use, llm, popular MCP tool, trending MCP tool",71486,Python,"ai-agents, ai-tools, browser-automation, browser-use, llm, playwright, python"
Tool Page,https://www.trackmcp.com/tool/zed,"zed - 67,880⭐ MCP Tool","Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.","zed, zed MCP, MCP tool, Model Context Protocol, Rust MCP, gpui, rust-lang, text-editor, zed, popular MCP tool, trending MCP tool",67880,Rust,"gpui, rust-lang, text-editor, zed"
Tool Page,https://www.trackmcp.com/tool/cline,"cline - 51,429⭐ MCP Tool","Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every...","cline, cline MCP, MCP tool, Model Context Protocol, TypeScript MCP, popular MCP tool, trending MCP tool",51429,TypeScript,
Tool Page,https://www.trackmcp.com/tool/mindsdb,"mindsdb - 36,479⭐ MCP Tool","AI Analytics and Knowledge Engine for RAG over large-scale, heterogeneous data. - The only MCP Server you'll ever need. ⭐ 36,479 stars. Python implementation.","mindsdb, mindsdb MCP, MCP tool, Model Context Protocol, Python MCP, agents, agi, ai, analytics, artificial-inteligence, popular MCP tool, trending MCP tool",36479,Python,"agents, agi, ai, analytics, artificial-inteligence, business-intelligence, databases, hacktoberfest, llms, mcp, rag"
Tool Page,https://www.trackmcp.com/tool/cherry-studio,"cherry-studio - 34,387⭐ MCP Tool","🍒 Cherry Studio is a desktop client that supports for multiple LLM providers.. ⭐ 34,387 stars. TypeScript implementation. MCP tool for AI development.","cherry-studio, cherry-studio MCP, MCP tool, Model Context Protocol, TypeScript MCP, agent, anthropic, assistant, chatbot, chatbotai, popular MCP tool, trending MCP tool",34387,TypeScript,"agent, anthropic, assistant, chatbot, chatbotai, electron, llm, mcp-client, openai"
Tool Page,https://www.trackmcp.com/tool/context7,"context7 - 34,297⭐ MCP Tool","Context7 MCP Server -- Up-to-date code documentation for LLMs and AI code editors. ⭐ 34,297 stars. JavaScript implementation.","context7, context7 MCP, MCP tool, Model Context Protocol, JavaScript MCP, llm, mcp, mcp-server, vibe-coding, popular MCP tool, trending MCP tool",34297,JavaScript,"llm, mcp, mcp-server, vibe-coding"
Tool Page,https://www.trackmcp.com/tool/context7,"context7 - 34,297⭐ MCP Tool","Context7 MCP Server -- Up-to-date code documentation for LLMs and AI code editors. ⭐ 34,297 stars. JavaScript implementation.","context7, context7 MCP, MCP tool, Model Context Protocol, JavaScript MCP, llm, mcp, mcp-server, vibe-coding, popular MCP tool, trending MCP tool",34297,JavaScript,"llm, mcp, mcp-server, vibe-coding"
Tool Page,https://www.trackmcp.com/tool/continue,"continue - 29,389⭐ MCP Tool","⏩ Ship faster with Continuous AI. Build and run custom agents across your IDE, terminal, and CI. ⭐ 29,389 stars. TypeScript implementation. MCP tool for AI deve","continue, continue MCP, MCP tool, Model Context Protocol, TypeScript MCP, agent, ai, claude, cli, developer-tools, popular MCP tool, trending MCP tool",29389,TypeScript,"agent, ai, claude, cli, developer-tools, hacktoberfest, intellij, jetbrains, llm, open-source, pycharm, qwen, software-development, visual-studio-code, vscode"
